코드,도서명,작가,출판사,출간연도,구입가격,대여가격
BK0100,오르는 부동산 돈 되는 부동산 잘 팔리는 부동산,박상언 지음,한스미디어,2012 ,26600,1000
BK0101,"비주얼씽킹, 스토리로 말하라",김소라...[등] 지음,이비락,2016 ,16300,2000
BK0102,무명작가,장현우 지음,무명작가,2001 ,33400,1000
BK0103,(천문과 지리 전략가)이순신,이봉수 지음,시루,2009 ,34500,1000
BK0104,짠내투어,신익수 지음,생각정거장,2003 ,30400,1000
BK0105,"(지리쌤과 함께하는)80일간의 세계 여행. [1], 아프리카·아메리카·오세아니아 편",전국지리교사모임 지음,폭스코너,2002 ,26400,1000
BK0106,잃어버린 영웅들 : 청년들이여 깨어나라,정상규 지음,아틀리에BOOKS,2004 ,15400,1000
BK0107,(인조이)홍콩. [2018],최은주 지음,넥서스Books,2019 ,23800,2000
BK0108,(인조이)하와이. [2018],오다나 지음,넥서스Books,2007 ,22400,1000
BK0109,(인조이)필리핀. [2018],백주희 지음,넥서스Books,2006 ,20800,1000
BK0110,(인조이)크로아티아. [2018],맹지나 지음,넥서스Books,2006 ,31700,1000
BK0111,이지 City 방콕 : 쉬운 방콕 여행. [2018],안혜연 지음,이지앤북스,2002 ,21000,1000
BK0112,"유럽 여행백서. 4, 남유럽편(이탈리아·스위스·스페인·포르투갈)",염승범...[등] 지음,나무자전거,2007 ,33300,1000
BK0113,"유럽 여행백서. 3, 동유럽편(독일·오스트리아·헝가리·체코·크로아티아)",염승범...[등] 지음,나무자전거,2016 ,25400,2000
BK0114,"유럽 여행백서. 2, 서유럽편(영국·프랑스·네덜란드·벨기에)",염승범...[등] 지음,나무자전거,2004 ,17400,1000
BK0115,"유럽 여행백서. 1, 여행준비편",염승범...[등] 지음,나무자전거,2007 ,21500,1000
BK0116,(셀프트래블)오키나와. [2018],정꽃나래 ; 정꽃보라 [공]지음,상상,2010 ,27900,1000
BK0117,아랍과 이슬람 : 그 문명의 역사와 사상,임병필...[등] 지음,모시는사람들,2008 ,22800,1000
BK0118,베트남 여행백서,이주영 지음,나무자전거,2018 ,21000,2000
BK0119,독일에 맥주 마시러 가자,배상준 글·사진,J&jj,2002 ,26200,1000
BK0120,(셀프트래블)도쿄. [2018],한혜원 ; 김미정 [공]지음,상상,2006 ,23400,1000
BK0121,(셀프트래블)뉴욕. [2018],조은정 지음,상상,2019 ,31600,2000
BK0122,네팔 히말라야 트레킹,최인호 지음,꿈의지도,2007 ,19900,1000
BK0123,79만원으로 세계일주,권용인 지음,로크미디어,2003 ,24500,1000
BK0124,흔들리지 않는 건 아무것도 없다,김기순 지음,한강,2011 ,26100,1000
BK0125,회사를 졸업하겠습니다,김미정 지음,위닝북스,2004 ,27200,1000
BK0126,화관,염상섭 지음,글누림,2011 ,19800,1000
BK0127,현대시 미학 산책,권성훈 지음,경인엠앤비,2019 ,33200,2000
BK0128,허방다리,김동권 지음,오늘의문학사,2009 ,12500,1000
BK0129,행운의 터널,이창대 지음,bookLab,2018 ,19200,2000
BK0130,해와 그녀의 꽃들,루피 카우르 지음 ; 신현림 옮김,박하,2015 ,27600,2000
BK0131,할망은 희망,정신지 지음,Garth laboratory,2015 ,30600,2000
BK0132,한국 고전시가 읽기,엄경흠 편저,역락,2016 ,34000,2000
BK0133,한국 고전서사와 콘텐츠,홍순석...[등] 지음,한국문화사,2017 ,12600,2000
BK0134,한 권으로 끝내는 포토샵,석승민 지음,eduway,2011 ,22900,1000
BK0135,피안 지나기까지,나쓰메 소세키 지음 ; 김숙희 옮김,소명,2005 ,30100,1000
BK0136,팡쓰치의 첫사랑 낙원,린이한 지음 ; 허유영 옮김,비채,2011 ,25300,1000
BK0137,추억의 야상곡,나카야마 시치리 지음 ; 권영주 옮김,블루홀6,2017 ,32000,2000
BK0138,지금 죽으러 갑니다,정해연 지음,황금가지,2011 ,14400,1000
BK0139,존슨 기억 판매 회사,정광모 지음,강,2009 ,23500,1000
BK0140,제명 공주. 2,이상훈 지음,박하,2008 ,12400,1000
BK0141,제명 공주. 1,이상훈 지음,박하,2001 ,17600,1000
BK0142,유령탑,에도가와 란포 지음 ; 미야자키 하야오 컬러 일러스트 ; 민경욱 옮김,북홀릭,2006 ,30000,1000
BK0143,우주 아이돌 배달작전,손지상 지음,그래비티북스,2000 ,22400,1000
BK0144,예수를 만나다,백성호 글·사진,arte,2011 ,20800,1000
BK0145,엔더스,리사 프라이스 지음 ; 박효정 옮김,황금가지,2018 ,29900,2000
BK0146,시마을로 가는 징검다리,유종화 지음,새로운눈,2019 ,17300,2000
BK0147,스크립트,아르노 슈트로벨 지음 ; 박계수 옮김,북로드,2003 ,22500,1000
BK0148,소크라테스와 함께 춤을,강경식 지음,새로운사람들,2005 ,23500,1000
BK0149,눈,강영환...[등] 지음,시와소금,2018 ,21900,2000
BK0150,"세월호, 꿈은 잊혀지지 않습니다",유종민 지음,타래,2007 ,20700,1000
BK0151,서비스를 파는 남자,정태유 지음,북랩,2012 ,28700,1000
BK0152,생명의 시인 윤동주,다고 기치로 지음 ; 이은정 옮김,한울,2007 ,29600,1000
BK0153,미안한 낮잠,박기홍 지음,이지,2015 ,24800,2000
BK0154,"마음 하나, 꽃 한 송이",김이랑 글·그림,미호,2007 ,21100,1000
BK0155,롱런하는 직장인의 비결,김해원 ; 김미양 [공]지음,책과나무,2007 ,30100,1000
BK0156,다정한 사람에게 다녀왔습니다,노윤주 지음,바이북스,2001 ,34700,1000
BK0157,누구나 한 번은 엄마와 이별한다,최해운 지음,이와우,2005 ,22400,1000
BK0158,나에게 넌,새벽 세시 지음 ; 권으뜸 사진,경향BP,2000 ,22300,1000
BK0159,내가 죽기 일주일 전,서은채 지음,황금가지,2001 ,34200,1000
BK0160,내가 사랑하는 것들은 왜 빨리 사라질까,김영상 지음,북오션,2016 ,15700,2000
BK0161,궤도채광선 게딱지,송한별...[등] 지음,월간토마토,2000 ,20500,1000
BK0162,괴담 : 서늘한 기척,고이케 마리코 지음 ; 오근영 옮김,RHK,2003 ,25900,1000
BK0163,"5,896 : 누명 쓴 감옥살이",김동하 지음,비움과 채움,2013 ,28400,1000
BK0164,흙수저 영어생존법,고태진 저,흥미로운미디어,2004 ,34800,1000
BK0165,혼자서도 자유롭게 일본으로 : 일본 여행 회화,심정희 지음,좋은땅,2011 ,24800,1000
BK0166,Smart 영어 면접,임경환 ; 유리 [공]지음,동양북스,2010 ,32100,1000
BK0167,(2030)일본어로 쉽게 말하기 : 초급과정,정문주 지음,삼육오,2001 ,24000,1000
BK0168,아기사진 무작정 따라하기,피운 지음,길벗,2003 ,28000,1000
BK0169,당신이 앉은 그 의자의 비밀 : 교양 의자,김신 지음,디자인하우스,2018 ,18200,2000
BK0170,나무를 향한 예의,성지혜 지음,도화,2014 ,34200,1000
BK0171,나는 행복한 고양이 집사,노진희 ; 밍키 [공]지음,넥서스books,2018 ,28800,2000
BK0172,기적의 밥상머리 교육,김정진 지음,예문,2002 ,18400,1000
BK0173,우주의 비밀과 현대물리철학 이야기,임정빈 지음,코람미디어,2003 ,21300,1000
